Country,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,labels,Development_Level
Afghanistan,0.042248668644271514,8.154566505010353,2.7029088016017915,9.579003173560242,23.048596289168817,0.08356313092447701,4.021222297393138,0.07952186199780199,0.022814677766171347,0.13224210030579742,4.090490992906111,4.049776242742224,0.2564295289476765,0.3989826035426564,0.397949758997214,0.020556490882579406,17.05023058862043,0.2093878353123614,20.018668742201573,19.59053977559727,0,Under Developed
Albania,0.014585421405246022,8.470262835192903,3.2157941583307927,8.000323699191522,22.908813894783417,0.05964676830788065,5.1348930499354495,0.017613203598737207,0.17589066646366422,0.1331178455872714,4.3849070975392355,4.30406509320417,0.4456715285862049,0.22982884715049745,0.503010550089335,0.08427044457682603,14.89963379571353,0.3910540738634574,20.876184990382622,20.730317837116782,3,Emerging
Algeria,0.0218367561476341,11.370109787766333,3.2756922999118614,10.390121361368587,25.502717791793675,0.03774032798284703,4.904134527459698,0.027390658145220244,0.06693948267510934,0.07994802863540473,4.285176808683964,4.239665162601087,0.40032370860774574,0.2567271037155322,0.5086694547495255,0.043280508358462394,17.36399722172184,0.4978339033420644,19.433120468204717,19.92765991164438,2,Developing
American Samoa,0.02029270326776243,9.163563180417254,3.332204510175204,9.579003173560242,23.518315240553033,0.05921185963184609,5.2390980068880655,0.020782539182528502,0.09531017980432487,0.11332868530700317,4.330733340286331,4.248495242049359,0.4054651081081644,0.262364264467491,0.4959150110302365,0.050693114315518116,10.953347176331699,0.6302073807860711,20.418098451510463,19.972489545668473,3,Emerging
Andorra,0.010527721886654445,7.161622002939187,3.332204510175204,9.579003173560242,22.47976846511521,0.06062462181643484,7.192683563237297,0.0030785896095974403,0.37729423114146804,0.11332868530700317,4.330733340286331,4.248495242049359,0.5257142362597413,0.262364264467491,0.4959150110302365,0.050693114315518116,11.246178276173886,0.6415906936455432,20.418098451510463,19.972489545668473,3,Emerging
Angola,0.0471771423371834,9.78227556782452,3.9408347026666917,9.270197278360044,24.645169545207406,0.04084660960191691,4.659075450824294,0.10781902949603357,0.03774032798284703,0.1860006779558941,3.9348376831943175,3.8791818992389038,0.2076393647782445,0.3903775014574154,0.40423358085891775,0.02416714622689389,16.6611595117049,0.3146984370716523,19.448099943803218,19.26390438619262,0,Under Developed
Antigua and Barbuda,0.01821766149398311,7.508112179046043,3.221948023905171,9.215611072781522,20.766168981073275,0.0452674832919102,6.357975573180296,0.010407195248535672,0.26826398659467937,0.10595264800516818,4.357694534014351,4.292564705083854,0.7492366472109889,0.2443328487147195,0.5015675148104147,0.06938253914639042,11.332893899528072,0.2517758602663294,19.647618593610883,18.15028432089245,3,Emerging
Argentina,0.01746203201870631,11.484372449063681,3.435227130248467,10.815553990013585,26.139012280834805,0.08150908763403238,6.377772973098607,0.014888612493750656,0.2384110234449982,0.1326127015262849,4.37913785076799,4.279866121746726,0.5962973545700276,0.23160000222308788,0.4921131712440602,0.0982429379988464,17.47895567462218,0.6431081599707847,22.106478531779665,22.122115662940498,1,Highly Developed
Armenia,0.013675296200215466,8.504217056662846,2.928112085879012,8.108183346607262,22.57657938573322,0.048057294953779306,4.579457822859602,0.019953445485139144,0.11607217125275403,0.17585840787884552,4.353745861558934,4.261595866095057,0.37421256460406,0.1999851458413849,0.5125932912900201,0.10338934340444536,14.916550819795512,0.4948838414989778,19.42863866800198,19.491473745619004,3,Emerging
Aruba,0.012004578922164421,8.130330896091976,3.332204510175204,9.579003173560242,21.944029869555944,0.05921185963184608,5.2390980068880655,0.020782539182528502,0.325422400434628,0.10629853711656864,4.354734492385874,4.290459441148391,0.653926467406664,0.1948706911254234,0.5270925962298625,0.08681263929388415,11.50153156960207,0.36821578382362513,20.82589184892383,19.289718595169525,3,Emerging
